node,typecode,x,y,id,name,adname,roadname,roadname_origin,桥隧类型
346,190307,121.644055,31.264914,B0FFF9R20H,金海路跨线桥,浦东新区,外环高速,外环高速,高架桥
177,190307,121.443891,31.249791,B0FFGQ7A7Z,昌化路桥,普陀区,昌化路桥,中潭路,拱桥
188,190307,121.454782,31.239514,B0FFKUZ9VZ,昌平路桥,静安区,昌平路,恒通路,拱桥
205,190307,121.465974,31.240859,BY0001M4K0,新闸桥,静安区,新闸桥,大统路,拱桥
208,190307,121.480073,31.191243,B0FFG44XME,卢浦大桥,黄浦区,卢浦大桥,南北高架路,拱桥
333,190307,121.578107,31.286795,B0FFG0ZHGN,赵家沟大桥,浦东新区,赵家沟大桥,浦东北路,拱桥
216,190307,121.476553,31.241434,B0FFH4K395,浙江路桥,黄浦区,浙江路桥,浙江北路,桁架桥
241,190307,121.49006,31.242896,B00155IL1T,外白渡桥,黄浦区,外白渡桥,外滩隧道,桁架桥
25,190306,121.393367,31.123463,B0FFFAAF3F,莘庄立交,闵行区,莘庄立交,沪闵路,立交桥
35,190306,121.376643,31.219573,B0GRVZRRT9,中环立交桥,长宁区,中环立交桥,北翟路辅路,立交桥
53,190306,121.364181,31.308988,B0FFFA9QVL,丰翔路二号桥,宝山区,丰翔路二号桥,丰翔路,立交桥
60,190306,121.411514,31.141399,B0FFFAA2ML,虹梅路立交桥,徐汇区,虹梅路立交桥,虹梅路,立交桥
70,190306,121.387998,31.246875,B0FFFA9ZDK,真北路立交桥,普陀区,真北路立交桥,曹安路辅路,立交桥
73,190306,121.378903,31.287226,B0FFGCI0MD,祁连山路立交桥,普陀区,祁连山路立交桥,S5沪嘉高速,立交桥
103,190306,121.412011,31.206,B0FFFAA6EX,内环延安西路立交桥,长宁区,延安西路立交桥,内环高架路,立交桥
129,190306,121.409548,31.260294,B0FFJS2UCO,真华路立交,普陀区,真华路,真华南路,立交桥
138,190306,121.405689,31.286999,B0GRVZTWB7,中环沪嘉立交桥,宝山区,中环沪嘉立交桥,中环路,立交桥
142,190306,121.435819,31.179802,B0FFFAA6EZ,内环漕溪北路立交桥,徐汇区,内环漕溪北路立交桥,漕溪路,立交桥
153,190306,121.422296,31.259702,B0FFFA9Q0Q,岚皋路立交桥,普陀区,岚皋路立交桥,岚皋路,立交桥
156,190306,121.414427,31.297673,B0FFFAA8AH,大场立交桥,宝山区,大场立交桥,沪太路,立交桥
169,190306,121.43089,31.258004,B0FFFAAEU9,光新路铁路立交桥,普陀区,光新路铁路立交桥,志丹路,立交桥
187,190306,121.452448,31.247836,B0FFGCIG1O,恒丰路立交桥,静安区,恒丰路立交桥,恒丰路,立交桥
200,190306,121.461972,31.244591,B0FFFAA7A3,天目中路立交桥,静安区,天目中路立交桥,天目中路立交桥,立交桥
201,190306,121.450044,31.293062,B0FFFAAEIQ,中环共和新路立交桥,静安区,中环共和新路立交桥,共和新路,立交桥
203,190306,121.448906,31.303199,B00156EWSN,彭浦立交,静安区,共和新路,共和新路,立交桥
204,190306,121.469303,31.224392,B0FFFAA86M,延安东路立交桥,黄浦区,延安东路立交桥,成都北路,立交桥
206,190306,121.477618,31.197383,B0FFFAA0VE,鲁班路立交,黄浦区,鲁班路立交,鲁班路,立交桥
207,190306,121.461534,31.260795,B0FFFAA6EN,内环共和新路立交桥,静安区,内环共和新路立交桥,南北高架路,立交桥
229,190306,121.467734,31.306248,B0FFFAA967,江杨南路立交桥,虹口区,江杨南路立交桥,江杨南路立交桥,立交桥
237,190306,121.471742,31.306647,B0FFG6MQN8,南何支线铁路立交桥,虹口区,场中路,场中路,立交桥
247,190306,121.500792,31.20857,B0FFFAA6ET,内环南浦大桥立交桥,黄浦区,内环高架路,内环高架路,立交桥
