Aname,x,y
仙霞西路跨线桥,121.353177,31.209471
外环潮港桥,121.355404,31.202183
外环南渔浦桥,121.353473,31.209788
金轮路朱家浜桥,121.350966,31.227792
协和路周家浜桥,121.356195,31.214403
福泉路周家浜桥,121.358605,31.214751
福泉北路朱家浜桥,121.355405,31.230156
检疫桥,121.364887,31.19858
淞虹路周家浜桥,121.361027,31.21415
陆家浜桥,121.363025,31.207965
潮泾港桥,121.369148,31.184642
新渔港桥,121.361117,31.216229
新泾港桥,121.370248,31.187424
淀浦河桥,121.386268,31.125625
程家桥,121.369705,31.190248
北翟路地道,121.361808,31.223906
金汇路桥,121.37332,31.184734
龙茗路桥,121.383684,31.148021
野奴泾桥,121.369808,31.202629
金汇路蒲汇塘桥,121.379125,31.167623
剑河路新泾港桥,121.369413,31.206597
龙茗路淀浦河桥,121.389884,31.12776
剑河路新渔浦桥,121.367916,31.215298
北翟高架路,121.367135,31.223152
仙霞路桥,121.371442,31.208188
莘庄立交,121.393367,31.123463
南新泾港桥,121.38492,31.162413
新泾港桥,121.389949,31.143441
外浜桥,121.366446,31.235102
泉口路新泾港桥,121.373133,31.211661
新泾港南闸桥,121.374163,31.212469
新渔路新泾港桥,121.374922,31.214489
沪闵路淀浦河桥,121.398225,31.127537
天山西路桥,121.375607,31.216378
北翟路一号桥,121.375351,31.219514
云岭西路桥,121.373904,31.226574
中环立交桥,121.376643,31.219573
真北路桥,121.376512,31.220675
仙霞路地道,121.380284,31.207843
漕河泾港桥,121.397127,31.152309
常和路桥,121.36422,31.282385
野奴泾桥,121.391205,31.179056
北虹路地道,121.386608,31.198655
云岭东路木渎港桥,121.380324,31.224538
绿杨桥,121.364789,31.285158
同普路木渎港桥,121.379647,31.228347
莲花路淀浦河桥,121.406447,31.125315
真光路桥,121.377785,31.238527
金沙江路地道,121.380426,31.232657
吴中路地道,121.394586,31.181902
莲花路立交桥,121.407045,31.133862
宜山路地道,121.39798,31.170396
泸定路桥,121.386233,31.219064
田林路地道,121.399819,31.167021
丰翔路二号桥,121.364181,31.308988
金沙江路桥,121.384111,31.23201
漕宝路地道,121.402436,31.162644
虹梅路七号桥,121.405983,31.153706
上澳塘港桥,121.397557,31.188195
北横通道-泸定路出入口,121.390113,31.21918
上岙塘桥,121.400116,31.182949
虹梅路立交桥,121.411514,31.141399
桂果路桥,121.411312,31.145915
桂平路桥,121.40864,31.156811
虹梅路九号桥,121.413935,31.137327
田林路桥,121.406399,31.168313
漕宝路三号桥,121.407754,31.163496
西上澳塘港桥,121.405946,31.172255
梅川路桥,121.388961,31.24048
钦江路桥,121.405653,31.175635
桂平支路桥,121.413293,31.14634
真北路立交桥,121.387998,31.246875
中江路桥,121.392018,31.232932
百花街桥,121.414746,31.146502
祁连山路立交桥,121.378903,31.287226
诸家浜桥,121.40543,31.188883
梅浦桥,121.421583,31.127201
虹漕南路桥,121.412545,31.163157
朝阳河桥,121.391871,31.246229
西牌楼桥,121.419938,31.14863
怒江路桥,121.398678,31.234999
红祁河桥,121.385783,31.286221
华泾港桥,121.427347,31.124717
古浪路张泾河桥,121.386835,31.283176
桂林西街桥,121.420884,31.152551
浦北路桥,121.420852,31.154513
新河南浜桥,121.386029,31.290009
污水管廊路桥,121.386968,31.286936
梅岭北路桥,121.398808,31.24154
蒲汇塘桥,121.414214,31.18219
钦州南路桥,121.420361,31.158452
桂林东街桥,121.420965,31.156909
杨柳青路桥,121.399172,31.242399
冠生园路桥,121.419687,31.162788
八字桥,121.393193,31.271485
强家角桥,121.406357,31.221324
金光河桥,121.38841,31.291332
武威东路桃浦河桥,121.392309,31.27636
小宅浜桥,121.391633,31.27924
真大路1号桥,121.39185,31.278399
五号桥,121.381628,31.318181
武宁路桃浦河桥,121.400603,31.244824
羊肠浜桥,121.400139,31.246634
桃浦桥,121.394396,31.269181
北石路桥,121.400468,31.248443
杨家桥,121.396411,31.264609
祁连山路大桥,121.379542,31.330474
内环延安西路立交桥,121.412011,31.206
顾陈路桥,121.379325,31.333063
金皇庙桥,121.392434,31.282518
杏山路北桥,121.404033,31.23818
铜川路桥,121.40092,31.25073
桐柏路桥,121.405953,31.234453
张家塘港桥,121.428735,31.145934
兰溪路西桥,121.404629,31.23996
武宁路地道,121.403637,31.244788
柳州路桥,121.425483,31.163514
花溪路桥,121.405661,31.241374
杏山路南桥,121.407119,31.236069
周金桥,121.393099,31.290954
红桥,121.406919,31.240639
枫桥,121.407653,31.239889
兰溪路东桥,121.408197,31.238021
老沪闵路三号桥,121.436538,31.12899
习勤路桥,121.428011,31.164949
凯旋路桥,121.413459,31.223099
宜山路桥,121.425542,31.180878
供水桥,121.431341,31.163456
康健路桥,121.431425,31.165566
漕宝路一号桥,121.431029,31.168259
浦汇塘桥,121.430828,31.174349
梨园桥,121.411057,31.251602
横港桥,121.405545,31.273428
真华路立交,121.409548,31.260294
真华路地道,121.409601,31.261555
长华路长桥,121.443984,31.129725
北横通道-江苏北路出入口,121.420792,31.220945
南陈路二号桥,121.398078,31.310066
小石桥,121.399522,31.305024
石泉路桥,121.41539,31.246584
中宁路桥,121.415208,31.247772
富平路桥,121.410603,31.265859
